dsld_id,label_url,product_name,max_grams,selected_source_rowid,unresolved_rows,suggested_use,review_status,dosage_form,serving_basis,daily_min_g,daily_max_g,reviewer,reviewed_on,notes,direction_type,units_per_recorded_serving,daily_units_min,daily_units_max,phase
211635,https://dsld.od.nih.gov/label/211635,HMB+ Creatine,2.5,1060420,0,Directions: To benefit from taking CaHMB and Creatine Monohydrate you require 3g and 5g respectively per day. To achieve this take one level scoop (4g) twice a day ideally with food.,source_text_reviewed,Powder [E0162],4 Gram(s) [1 level scoop],5.0,5.0,ChatGPT; Abdullah review pending,2026-09-08,One 4 g scoop twice daily; 2.5 g recorded monohydrate per scoop.,fixed_daily,1,2,2,ordinary
215240,https://dsld.od.nih.gov/label/215240,Creatine,2.25,1092832,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,source_text_reviewed,Capsule [E0159],3 Capsule(s),4.50,4.50,ChatGPT; Abdullah review pending,2026-09-08,Three capsules twice daily.,fixed_daily,3,6,6,ordinary
215241,https://dsld.od.nih.gov/label/215241,Creatine,2.25,1092833,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,source_text_reviewed,Capsule [E0159],3 Capsule(s),4.50,4.50,ChatGPT; Abdullah review pending,2026-09-08,Three capsules twice daily.,fixed_daily,3,6,6,ordinary
215649,https://dsld.od.nih.gov/label/215649,Creatine Monohydrate,2.5,1095098,0,Directions: As dietary supplement; take 2500 mg (1 tsp) daily; preferably before a workout or as directed by a physician. Individual needs vary greatly. Drink lots of water.,source_text_reviewed,Powder [E0162],2.5 Gram(s),2.5,2.5,ChatGPT; Abdullah review pending,2026-09-08,One 2500 mg serving daily; alternative physician direction unspecified.,fixed_daily,1,1,1,ordinary
228238,https://dsld.od.nih.gov/label/228238,Creatine XS Unflavored,2.5,1172928,0,Directions: Take 1 serving of CREATINE XS (2.5 Grams) with 4-6 oz (120-180 mL) of cold water; juice or your favorite beverage. Use in conjunction with a proper diet and exercise regimen to maximize  results.,source_text_reviewed,Powder [E0162],2.5 Gram(s) [1/2 Scoop],,,ChatGPT; Abdullah review pending,2026-09-08,One serving described; no explicit daily frequency.,frequency_unspecified,,,,
253763,https://dsld.od.nih.gov/label/253763,Creatine Monohydrate 700 mg,2.8,1391032,0,Directions: As a dietary supplement; take 4 capsules daily; preferably before a workout or as directed by a physician. Individual needs vary greatly. Drink lots of water.,source_text_reviewed,Capsule [E0159],4 Capsule(s),2.8,2.8,ChatGPT; Abdullah review pending,2026-09-08,Four capsules together provide 2800 mg; do not multiply 2800 mg by four again.,fixed_daily,4,4,4,ordinary
253769,https://dsld.od.nih.gov/label/253769,Creatine Monohydrate 700 mg,2.8,1391038,0,Directions: As a dietary supplement; take 4 capsules daily; preferably before a workout or as directed by a physician. Individual needs vary greatly. Drink lots of water.,source_text_reviewed,Capsule [E0159],4 Capsule(s),2.8,2.8,ChatGPT; Abdullah review pending,2026-09-08,Four capsules together provide 2800 mg; do not multiply 2800 mg by four again.,fixed_daily,4,4,4,ordinary
262856,https://dsld.od.nih.gov/label/262856,Creatine,2.25,1464223,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,source_text_reviewed,Capsule [E0159],3 Capsule(s),4.50,4.50,ChatGPT; Abdullah review pending,2026-09-08,Three capsules twice daily.,fixed_daily,3,6,6,ordinary
262880,https://dsld.od.nih.gov/label/262880,Creatine,2.25,1464374,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,source_text_reviewed,Capsule [E0159],3 Capsule(s),4.50,4.50,ChatGPT; Abdullah review pending,2026-09-08,Three capsules twice daily.,fixed_daily,3,6,6,ordinary
272452,https://dsld.od.nih.gov/label/272452,Creatine,0.75,1544900,0,Directions: Adults; take 1 capsule daily; preferably with a meal; or as directed by your healthcare professional.,source_text_reviewed,Capsule [E0159],1 Capsule(s),0.75,0.75,ChatGPT; Abdullah review pending,2026-09-08,One capsule daily.,fixed_daily,1,1,1,ordinary
273606,https://dsld.od.nih.gov/label/273606,Creatine SAP,2.5,1557387,0,Directions for use: Adults: Take 1/2 scoop (approx. 2.5 g) daily with water / juice or as directed by your healthcare practitioner.,source_text_reviewed,Powder [E0162],2.5 Gram(s) [1/2 scoop],2.5,2.5,ChatGPT; Abdullah review pending,2026-09-08,Half-scoop serving daily.,fixed_daily,1,1,1,ordinary
274287,https://dsld.od.nih.gov/label/274287,CreaPlex Creatine,2.25,1563539,0,Usage: Mix two scoops to 8-12 oz. of water. Experts recommend loading for best results. To load: Take 1 serving 4x a day for 5 days. To maintain: Take 30 min before workout or directly after. Drink an extra 16 oz. of water per day for every serving used.,source_text_reviewed,Powder [E0162],6.75 Gram(s) [2 Scoops],,,ChatGPT; Abdullah review pending,2026-09-08,Loading specifies four servings daily; maintenance gives workout timing without a daily frequency. Other creatine forms are listed.,phase_frequency_unclear,,,,
276660,https://dsld.od.nih.gov/label/276660,Micronized Creatine Capsules 2.5 g,2.5,1587081,0,Directions: Take 2 capsules with a meal twice daily.Tips: Consuming carbohydrates helps with muscle retention of creatine.,source_text_reviewed,Capsule [E0159],2 Capsule(s),5.0,5.0,ChatGPT; Abdullah review pending,2026-09-08,Two capsules twice daily.,fixed_daily,2,4,4,ordinary
282205,https://dsld.od.nih.gov/label/282205,Creatine Monohydrate Powder,1.0,1621252,0,DirectionsStir 1/4 of a teaspoon into a glass of water and consume 3 times daily; with meals.,source_text_reviewed,Powder [E0162],0.25 Teaspoon(s),3.0,3.0,ChatGPT; Abdullah review pending,2026-09-08,Quarter-teaspoon serving three times daily.,fixed_daily,1,3,3,ordinary
290441,https://dsld.od.nih.gov/label/290441,Creatine Monohydrate Powder,1.0,1665224,0,DirectionsStir 1/4 of a teaspoon into a glass of water and consume 3 times daily; with meals.,source_text_reviewed,Powder [E0162],0.25 Teaspoon(s),3.0,3.0,ChatGPT; Abdullah review pending,2026-09-08,Quarter-teaspoon serving three times daily.,fixed_daily,1,3,3,ordinary
297713,https://dsld.od.nih.gov/label/297713,Creatine Five Unflavored,2.0,1718287,0,Directions: Mix 1 scoop of Staunch Creatine Five with 8 ounces of your favorite drink. Consume daily.,source_text_reviewed,Powder [E0162],5 Gram(s) [1 Scoop],2.0,2.0,ChatGPT; Abdullah review pending,2026-09-08,One scoop daily. Other creatine forms are listed; this calculation concerns monohydrate only.,fixed_daily,1,1,1,ordinary
299095,https://dsld.od.nih.gov/label/299095,Creatine,0.75,1734605,0,Directions: Adults; take 1 capsule daily; preferably with a meal; or as directed by your Healthcare Professional.,source_text_reviewed,Capsule [E0159],1 Capsule(s),0.75,0.75,ChatGPT; Abdullah review pending,2026-09-08,One capsule daily.,fixed_daily,1,1,1,ordinary
302093,https://dsld.od.nih.gov/label/302093,Creatine1000,1.0,1750320,0,Suggested use:As a dietary supplement; take 2 capsules with water or beverage of your choice. Consume throughout the day to reach your desired daily creatine intake goals.,source_text_reviewed,Capsule [E0159],2 Veggie Capsule(s),,,ChatGPT; Abdullah review pending,2026-09-08,Two capsules per use; repeat to a self-selected daily goal. No bounded daily intake.,self_selected_frequency,,,,
306204,https://dsld.od.nih.gov/label/306204,Creatine 3 g Peach Mango,2.25,1785564,0,Suggested use:As a dietary supplement; mix 1 scoop daily with 6-10 oz of water or as directed by your healthcare professional.,source_text_reviewed,Powder [E0162],5 Gram(s),2.25,2.25,ChatGPT; Abdullah review pending,2026-09-08,One scoop daily. Other creatine forms are listed; product-name 3 g is not a 3 g monohydrate measurement.,fixed_daily,1,1,1,ordinary
315559,https://dsld.od.nih.gov/label/315559,Six Point Creatine,2.5,1844432,0,Perfect for pre or post training Suggested use: Mix 6 Point Creatine into your favorite: beverage; pre-workout; intra-workout or post-workout drinks. It's flavorless and fillerless formula make it ideal to mix into just about any drink. Due to its anabolic properties; it is recommended that 6 Point be taken and timed around your workouts. Be sure to stay hydrated while training; supplementing and living and active lifestyle.,source_text_reviewed,Powder [E0162],5.75 Gram(s) [1 Scoop],,,ChatGPT; Abdullah review pending,2026-09-08,Workout timing without a stated daily frequency. Multiple creatine forms; do not sum compound masses as pure creatine.,frequency_unspecified,,,,
317721,https://dsld.od.nih.gov/label/317721,Creatine 500 mg,0.5,1864537,0,Suggested Use:Take one capsule daily or as directed by a physician.,source_text_reviewed,Capsule [E0159],1 Capsule(s),0.5,0.5,ChatGPT; Abdullah review pending,2026-09-08,One 500 mg capsule daily.,fixed_daily,1,1,1,ordinary
319530,https://dsld.od.nih.gov/label/319530,Creatine Monohydrate,2.2,1881110,0,Suggested Use: Take 4 capsules twice daily with 8-10 oz of juice or other glucose-containing liquid.,source_text_reviewed,Capsule [E0159],4 Capsule(s),4.4,4.4,ChatGPT; Abdullah review pending,2026-09-08,Four capsules twice daily.,fixed_daily,4,8,8,ordinary
326503,https://dsld.od.nih.gov/label/326503,Creatine Freak CF Hydration Mix Fuzzy Peach,2.5,1934187,0,Directions: As a dietary supplement; adults mix one scoop with 8-16 ounces of cold water in a shaker bottle and consume before; during or after exercise. Creatine Freak ScoopShake,source_text_reviewed,Powder [E0162],5 Gram(s) [1 Scoop],,,ChatGPT; Abdullah review pending,2026-09-08,One scoop before/during/after exercise; daily frequency and rest-day schedule not specified.,workout_only,,,,
326504,https://dsld.od.nih.gov/label/326504,Creatine Freak CF Hydration Mix Pineapple Coconut,2.5,1934194,0,Directions: As a dietary supplements; adults mix one scoop with 8-16 ounces of cold water in a shaker bottle and consume before; during or after exercise. ScoopShakeMuscle hydrate,source_text_reviewed,Powder [E0162],5 Gram(s) [1 Scoop],,,ChatGPT; Abdullah review pending,2026-09-08,One scoop before/during/after exercise; daily frequency and rest-day schedule not specified.,workout_only,,,,
328409,https://dsld.od.nih.gov/label/328409,Creatine Capsules,1.0,1954935,0,Read the entire label and follow the directions carefully prior to use.Directions: Take two (2) capsules twice daily with water or juice; or as recommended by a healthcare practitioner.,source_text_reviewed,Capsule [E0159],2 Capsule(s),2.0,2.0,ChatGPT; Abdullah review pending,2026-09-08,Two capsules twice daily; 1000 mg belongs to the two-capsule serving.,fixed_daily,2,4,4,ordinary
328853,https://dsld.od.nih.gov/label/328853,Creatine Monohydrate,2.25,1958070,0,Directions: As a dietary supplement; take three (3) capsules twice (2) daily with meals and plenty of water. On training days; take one (1) daily serving thirty (30) minutes prior to training and take the second serving thirty (30) minutes post-training with carbohydrates.,source_text_reviewed,Capsule [E0159],3 Capsule(s),4.50,4.50,ChatGPT; Abdullah review pending,2026-09-08,Three capsules twice daily; training-day timing elaborates the same two servings.,fixed_daily,3,6,6,ordinary
333418,https://dsld.od.nih.gov/label/333418,Liposomal Creatine,2.5,1985337,0,Suggested use: Adults take 3 capsules twice a day; or as recommended by your healthcare practitioner; with 8 ounces of water or your favorite beverage. May be taken with or without food.,source_text_reviewed,Capsule [E0159],3 Capsule(s),5.0,5.0,ChatGPT; Abdullah review pending,2026-09-08,Three capsules twice daily.,fixed_daily,3,6,6,ordinary
337727,https://dsld.od.nih.gov/label/337727,100% Pure Creatine Monohydrate Capsules,0.0064,2014105,0,Recommended dosage: Take 4 capsules with plenty of liquid (300 ml); preferably before and after an intensive workout. On non-training days take 4 capsules with plenty of liquid (300 ml) first thing in the morning and again before bed time. Advice: To achieve a positive effect 3 g of creatine should be consumed per day. Once opened; use up quickly.,source_text_reviewed,Capsule [E0159],4 Capsule(s),,,ChatGPT; Abdullah review pending,2026-09-08,Scanned German daily-serving table shows 6.400 mg and 3.200 mg; CSV/API record 6.4 mg and 3.2 mg. Serving basis also differs. No daily conversion or automatic correction.,source_discrepancy,,,,
