dsld_id,product_name,suggested_use,review_status,direction_type,notes,reviewer,reviewed_on
6518,Cell-Tech Hardcore Pro Series Orange,Directions:DAY 1 TO DAY 5: Take 2 servings daily; 1 in the morning when you wake up and the other immediately after your workout. If you are not training that day; have the first serving in the morning when you wake up; and the second serving 12 hours later.DAY 6 AND BEYOND: Take 1 serving immediately after your workout. If you are not training that day; have your serving in the morning when you wake up. Preparation: Mix 1 serving (2 scoops) of Cell-Tech(TM) Hardcore Pro Series with 12 oz. of cold water. After you finish your serving of Cell-Tech(TM) Hardcore Pro Series; drink an additional glass of water to help enhance absorption. For best results; use for at least 8 weeks.,source_text_reviewed,multiple_phases,Two servings in days 1-5; one thereafter.,ChatGPT; Abdullah review pending,2026-09-08
309327,Creatine Monohydrate,Suggested Use: As a dietary supplement; mix one serving of 5 grams (one scoop) into at least 16 ounces of water or suitable beverage and drink within 15 minutes. Consume one serving per day. For best results; use this product as part of a proper diet and exercise program.,source_text_reviewed,fixed_daily,Explicitly one serving per day.,ChatGPT; Abdullah review pending,2026-09-08
79457,Preworkout Fruit Punch,Recommended useMix one level scoop of AML Preworkout in 12 ounces of water and drink 30-45 minutes before workouts. Do not exceed 1 serving daily!,source_text_reviewed,workout_with_ceiling,Before exercise; one-serving daily ceiling.,ChatGPT; Abdullah review pending,2026-09-08
332318,3-Creatine,Recommended use: Adults. Take 1 measuring spoon per day.,source_text_reviewed,fixed_daily,One measuring spoon per day.,ChatGPT; Abdullah review pending,2026-09-08
17573,After Max Chocolate Sunday,DIRECTIONS:BLENDER: Add three scoops of After Max(R) to a blender filled with 16 oz. of water; milk; or your favorite beverage. Blend for 15-20 seconds. Then add 3-4 ice cubes and blend for anadditional 20 seconds. SHAKE UP YOUR SHAKE: By adding a few high-energy ingredients to your shake you can blend up a delicious meal: try adding fresh bananas; peanut butter; flaxseed oil; coconut; slivered almonds; or other ingredients. SHAKER: Bringing a shaker cup with you to the gym is the best way to get a powerful dose of protein and carbs immediately after your workout. Just add three scoops of After Max(R) to your shaker cup and then pour in 16 oz. of your preferred beverage. Cover and shake for 25-30 seconds. SPOON STIRRED: Add three scoops of After Max(R) to a glass filled with 16 oz. of cold water; milk; or your favorite beverage. Then mix it up with a spoon for about 30 seconds or until powder is completely dissolved. SUGGESTED USE: Begin drinking After Max(R) immediately following exercise to supportmaximum recovery.,source_text_reviewed,workout_only,Preparation alternatives; drink after exercise.,ChatGPT; Abdullah review pending,2026-09-08
296897,Post-Workout Recovery Chocolate ,Directions for use: Blend; shake or briskly stir the contents of two level scoops into 10 fluid ounces of water or the beverage of your choice.,source_text_reviewed,frequency_unspecified,Mixing directions only.,ChatGPT; Abdullah review pending,2026-09-08
332126,Micronized Creatine Powder Blueberry Lemonade,Directions: Add 6 grams (1 rounded teaspoon) of Micronized Creatine Powder to a protein shake or a glass of your favorite beverage. Then mix it up with a spoon. Tip: Power-up protein and weight-gainer shakes with a rounded teaspoon of Micronized Creatine Powder.Suggested use: Intended for use in healthy adults and as part of a healthy; balanced diet and exercise program.,source_text_reviewed,frequency_unspecified,Mixing directions and optional shake addition; no frequency.,ChatGPT; Abdullah review pending,2026-09-08
200650,InstaGator Pre-Workout Coconut Margarita,To ensure proper mixture; shake well before use. Suggested use: Mix 1 scoop in 4-8 oz. of water; consume 20-30 minutes before training or physical activity. Do not exceed 1 scoop daily.,source_text_reviewed,workout_with_ceiling,Before activity; one-scoop daily ceiling.,ChatGPT; Abdullah review pending,2026-09-08
241758,The Creatine Strawberry,Recommended use: Mix 1 heaping scoop (~8 g) of powder with 250 ml of cold water. Drink 30 minutes before beginning activity.,source_text_reviewed,workout_only,One scoop before activity.,ChatGPT; Abdullah review pending,2026-09-08
182515,CELL TECH Icy Rocket Freeze,Directions: Take 1 scoop of CELL-TECH with 6 oz. of water immediately following your workout. If you’re not training that day; have your serving in the morning when you wake up.For Better Results: Take 2 scoops of CELL-TECH with 12 oz. of water immediately following your workout. If you’re not training that day; take 2 scoops in the morning when you wake up.For Best Results: For the first 7 days (loading stage): Take 2 scoops of CELL-TECH with 12 oz. of water in the morning when you wake up and 2 scoops with 12 oz. of water immediately after your workout. If you’re not training that day; take 2 scoops with 12 oz. of water in the morning when you wake up and 2 scoops with 12 oz. of water later in the day. Maintenance stage: Take 2 scoops of CELL-TECH with 12 oz. of water immediately following your workout. If you’re not training that day; take 2 scoops with 12 oz. of water in the morning when you wake up.,source_text_reviewed,multiple_phases,Alternative serving options plus loading and maintenance.,ChatGPT; Abdullah review pending,2026-09-08
2028,SyntheSize,Drink and additional one half (1/2) ounce of water for each pound of body weight. RECOMMENDED USE:  Mix one scoop of N.O. SYNTHESIZE(R) with 8 to 10 ounces of water or your favorite beverage.  N.O. SYNTHESIZE(R) can be used as a stand alone product or stacked together along with N.O. SHOTGUN v.3(R) prior to any type of athletic event or resistance training.  Consume N.O. SYNTHESIZE(R) during and after training.  Other (Nitric Oxide) supplements may require several scoops; howerver; N.O. SYNTHESIZE(R) is extremely powerful and requires only one scoop.  The N.O. SYNTHESIZE(R)/N.O. SHOTGUN v.3(R) supplement strategy should always be utilized 30 minutes prior to; during and after resistance training.  The N.O. SHOTGUN v.3(R) and N.O. SYNTHESIZE(R) supplement strategy represents the most advanced and latest research on muscle growth and athletic performance.,source_text_reviewed,frequency_unspecified,During and after training; stacking instructions do not define a daily total.,ChatGPT; Abdullah review pending,2026-09-08
1312,NOS Blast Concentrate,DIRECTIONS: For adults; mix one (1) to three (3) scoops with 4-8 fl. ounces of water or juice and consume 30-45 minutes before your workout. Limit your use to no more than three (3) scoops in a 24-hour period. Begin with half the recommended dosage to assess individual tolerance. Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake.,source_text_reviewed,variable_units,One to three scoops; initial tolerance adjustment and daily ceiling.,ChatGPT; Abdullah review pending,2026-09-08
268889,Strawberry,Directions: Add two heaping scoops of Serious Mass to a blender filled with 24 oz. of water. Blend for 45-60 seconds. Then add a few ice cubes and; if desired; other calorie-contributing ingredients (see 'Supercharge Your Serious Mass' below) and blend for an additional 30-45 seconds. Tips: Mixing two scoops of Serious Mass with 24 fl. oz. of nonfat or low fat milk instead of water will give you a thicker; creamier; higher-calorie shake. New users may find it beneficial to begin with 1/2 of a serving daily for the first week and then gradually increase to 1 or more full servings several times a day.Serious Mass is a substantial weight-gain supplement that can be used to feed serious calorie needs in a variety of different ways.Between Meals: Drink 1/2 - 1 serving of Serious Mass between meals to maintain positive nitrogen balance and support a high-calorie diet. Post-Workout: Begin drinking 1/2 - 1 serving of Serious Mass 30-45 minutes following exercise to support maximum recovery. Before Bed: Drink 1/2 - 1 serving of Serious Mass about 45-60 minutes before bed to provide nutrients to recovering muscle throughout the night.Note: For best results use Serious Mass combined with intense weight training (3-5 times per week) and a sensible whole foods diet. Also; keep in mind that sufficient recovery between workouts impacts your ability to gain lean mass. Allowing at least 48 hours between workout involving the same body parts is recommended. Supercharge your Serious Mass by adding one or more of these foods to your shake.Serving size Calories1/2 cup granola 2501/4 cup chocolate chip 1981 tbsp. peanut butter 1901 oz. almonds 1671 oz. peanuts 1641/2 cup ice cream 1601 cup whole milk 1501/2 cup coconut 1391 tbsp. flaxseed oil 1151/2 cup oat bran 1081 small banana 1051 tbsp. honey 641 tbsp. molasses 43,source_text_reviewed,multiple_phases,Initial adaptation; variable servings and multiple use occasions.,ChatGPT; Abdullah review pending,2026-09-08
228193,AminoMax 8000,Use pre and post-workout Suggested Use: As a dietary supplement; consume four (4) tablets before training and then another four (4) tablets after training.,source_text_reviewed,workout_only,Four tablets before and four after training; no rest-day schedule.,ChatGPT; Abdullah review pending,2026-09-08
335126,C4 Ultimate Strength Sour Green Apple,Suggested useTake one serving (approx. 1 scoop) of C4 Ultimate Shred with 12 fl. oz. of water and consume 20-30 minutes before training. It's normal for powder to settle; gently shake before each sip. Studies have shown benefits of CarnoSyn Beta-Alanine to be correlated with cumulative use. Some individuals may experience a harmless tingling sensation; which is attributable to Beta-Alanine.,source_text_reviewed,workout_only,Before training; direction text names a different C4 variant than the product name.,ChatGPT; Abdullah review pending,2026-09-08
332824,Red White & Boom Orange Man Bad,Directions: Mix 1 scoop with 10-16 ounces of water and consume approximately 15-30 minutes prior to your workout. To assess tolerance; new users may want to start with 1/2 scoop.,source_text_reviewed,variable_units,One scoop before exercise; half scoop for tolerance.,ChatGPT; Abdullah review pending,2026-09-08
232794,Advanced Whey Protein Isolate Vanilla Flavor,Read the entire label and follow the directions carefully prior to use.Directions: Mix (1) scoop in approximately 4 to 8 ounces of water or beverage of choice (to taste) daily; or as recommended by a healthcare practitioner. Drink immediately.,source_text_reviewed,fixed_daily,One scoop daily; alternative practitioner instructions unspecified.,ChatGPT; Abdullah review pending,2026-09-08
18164,NOS Blast Fruit Punch,DIRECTIONS: For adults; mix two (2) or three (3) scoops with 4-8 fl. ounces of water or juice and consume 30-45 minutes before your workout. Limit your use to no more than three (3) scoops in a 24-hour period. Begin with half the recommended dosage to assess individual tolerance.,source_text_reviewed,variable_units,Two to three scoops; tolerance adjustment and daily ceiling.,ChatGPT; Abdullah review pending,2026-09-08
